2026-07-28 11:51:35 INFO     services.loader [contacts] update lote 5700-5800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:36 INFO     services.loader [contacts] update lote 5800-5900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:37 INFO     services.loader [contacts] update lote 5900-6000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:38 INFO     services.loader [contacts] update lote 6000-6100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:39 INFO     services.loader [contacts] update lote 6100-6200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:40 INFO     services.loader [contacts] update lote 6200-6300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:41 INFO     services.loader [contacts] update lote 6300-6400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:42 INFO     services.loader [contacts] update lote 6400-6500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:43 INFO     services.loader [contacts] update lote 6500-6600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:44 INFO     services.loader [contacts] update lote 6600-6700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:45 INFO     services.loader [contacts] update lote 6700-6800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:46 INFO     services.loader [contacts] update lote 6800-6900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:47 INFO     services.loader [contacts] update lote 6900-7000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:47 INFO     services.loader [contacts] update lote 7000-7100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:49 INFO     services.loader [contacts] update lote 7100-7200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:50 INFO     services.loader [contacts] update lote 7200-7300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:51 INFO     services.loader [contacts] update lote 7300-7400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:52 INFO     services.loader [contacts] update lote 7400-7500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:53 INFO     services.loader [contacts] update lote 7500-7600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:54 INFO     services.loader [contacts] update lote 7600-7700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:55 INFO     services.loader [contacts] update lote 7700-7800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:56 INFO     services.loader [contacts] update lote 7800-7900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:57 INFO     services.loader [contacts] update lote 7900-8000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:51:59 INFO     services.loader [contacts] update lote 8000-8100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:00 INFO     services.loader [contacts] update lote 8100-8200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:01 INFO     services.loader [contacts] update lote 8200-8300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:02 INFO     services.loader [contacts] update lote 8300-8400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:03 INFO     services.loader [contacts] update lote 8400-8500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:04 INFO     services.loader [contacts] update lote 8500-8600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:05 INFO     services.loader [contacts] update lote 8600-8700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:06 INFO     services.loader [contacts] update lote 8700-8800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:07 INFO     services.loader [contacts] update lote 8800-8900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:08 INFO     services.loader [contacts] update lote 8900-9000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:09 INFO     services.loader [contacts] update lote 9000-9100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:10 INFO     services.loader [contacts] update lote 9100-9200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:11 INFO     services.loader [contacts] update lote 9200-9300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:12 INFO     services.loader [contacts] update lote 9300-9400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:13 INFO     services.loader [contacts] update lote 9400-9500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:14 INFO     services.loader [contacts] update lote 9500-9600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:15 INFO     services.loader [contacts] update lote 9600-9700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:16 INFO     services.loader [contacts] update lote 9700-9800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:17 INFO     services.loader [contacts] update lote 9800-9900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:18 INFO     services.loader [contacts] update lote 9900-10000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:19 INFO     services.loader [contacts] update lote 10000-10100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:20 INFO     services.loader [contacts] update lote 10100-10200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:21 INFO     services.loader [contacts] update lote 10200-10300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:22 INFO     services.loader [contacts] update lote 10300-10400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:23 INFO     services.loader [contacts] update lote 10400-10500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:24 INFO     services.loader [contacts] update lote 10500-10600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:26 INFO     services.loader [contacts] update lote 10600-10700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:27 INFO     services.loader [contacts] update lote 10700-10800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:28 INFO     services.loader [contacts] update lote 10800-10900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:29 INFO     services.loader [contacts] update lote 10900-11000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:30 INFO     services.loader [contacts] update lote 11000-11100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:31 INFO     services.loader [contacts] update lote 11100-11200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:32 INFO     services.loader [contacts] update lote 11200-11300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:33 INFO     services.loader [contacts] update lote 11300-11400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:34 INFO     services.loader [contacts] update lote 11400-11500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:35 INFO     services.loader [contacts] update lote 11500-11600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:36 INFO     services.loader [contacts] update lote 11600-11700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:37 INFO     services.loader [contacts] update lote 11700-11800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:38 INFO     services.loader [contacts] update lote 11800-11900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:39 INFO     services.loader [contacts] update lote 11900-12000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:39 INFO     services.loader [contacts] update lote 12000-12100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:41 INFO     services.loader [contacts] update lote 12100-12200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:42 INFO     services.loader [contacts] update lote 12200-12300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:43 INFO     services.loader [contacts] update lote 12300-12400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:44 INFO     services.loader [contacts] update lote 12400-12500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:45 INFO     services.loader [contacts] update lote 12500-12600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:46 INFO     services.loader [contacts] update lote 12600-12700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:47 INFO     services.loader [contacts] update lote 12700-12800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:48 INFO     services.loader [contacts] update lote 12800-12900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:49 INFO     services.loader [contacts] update lote 12900-13000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:50 INFO     services.loader [contacts] update lote 13000-13100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:52 INFO     services.loader [contacts] update lote 13100-13200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:53 INFO     services.loader [contacts] update lote 13200-13300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:53 INFO     services.loader [contacts] update lote 13300-13400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:54 INFO     services.loader [contacts] update lote 13400-13500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:55 INFO     services.loader [contacts] update lote 13500-13600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:56 INFO     services.loader [contacts] update lote 13600-13700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:57 INFO     services.loader [contacts] update lote 13700-13800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:57 INFO     services.loader [contacts] update lote 13800-13900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:58 INFO     services.loader [contacts] update lote 13900-14000: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:52:59 INFO     services.loader [contacts] update lote 14000-14100: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:00 INFO     services.loader [contacts] update lote 14100-14200: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:01 INFO     services.loader [contacts] update lote 14200-14300: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:01 INFO     services.loader [contacts] update lote 14300-14400: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:02 INFO     services.loader [contacts] update lote 14400-14500: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:03 INFO     services.loader [contacts] update lote 14500-14600: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:04 INFO     services.loader [contacts] update lote 14600-14700: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:06 INFO     services.loader [contacts] update lote 14700-14800: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:06 INFO     services.loader [contacts] update lote 14800-14900: HTTP 200, 100 ok, 0 falhas
2026-07-28 11:53:08 INFO     services.loader [contacts] update lote 14900-15000: HTTP 200, 100 ok, 0 falhas
